Sub-Domain,"Invoice #","POS Date","Product Type","Manufacturer name","Category name","Product Name",SKU,"Qty Sold",Price,Total
phoneshop,17887,"05-06-26 12:08 pm",Standard,,,"3 pin cable",1374379,1,15.00,15.00
istore,32453,"05-06-26 12:08 pm",Standard,.,Vape,". LIQUID 10",571568,1,10.00,10.00
gort1,24020,"05-06-26 12:03 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
istore,32452,"05-06-26 11:56 am",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
tesco,24276,"05-06-26 11:51 am",Standard,,Accessories,Radio,1409830,1,45.00,45.00
istore,32451,"05-06-26 11:50 am",Standard,.,Vape,". LIQUID 50",424282,1,45.00,45.00
istore,32450,"05-06-26 11:48 am",Standard,.,Vape,". LIQUID 50",424282,1,73.00,73.00
gort1,24018,"05-06-26 11:46 am",Standard,,Vape,"Disposable Vape (10)",VAP10,1,10.00,10.00
phonelab,10413,"05-06-26 11:44 am",Standard,,Accessories,"Gorilla Tempered Glass / Screen Protector",GSP06,1,10.00,10.00
istore,32449,"05-06-26 11:36 am",Standard,.,Vape,". LIQUID 20",595655,1,24.00,24.00
phonelab,10412,"05-06-26 11:32 am",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,16.00,16.00
istore,32448,"05-06-26 11:31 am",Standard,.,Vape,". LIQUID 50",424282,1,38.00,38.00
istore,32447,"05-06-26 11:24 am",Standard,.,Vape,". LIQUID 20",595655,1,20.00,20.00
tesco,24275,"05-06-26 11:23 am",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,24.00,24.00
istore,32446,"05-06-26 11:18 am",Standard,.,Vape,". LIQUID 50",424282,1,33.00,33.00
gort1,24017,"05-06-26 10:46 am",Standard,,Vape,"Disposable Vape (30)",VAP30,1,20.00,20.00
gort1,24017,"05-06-26 10:46 am",Standard,,Vape,"LIQUID 8",1017597,3,8.00,24.00
phonelab,10411,"05-06-26 10:38 am",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
phonelab,10410,"05-06-26 10:18 am",Standard,,Accessories,"Budi Cable",1472353,2,15.00,30.00
phonelab,10409,"05-06-26 10:18 am",Standard,,Accessories,"Charger/ adapter / Plug Generic",PLUG,1,25.00,25.00
phonelab,10408,"05-06-26 10:18 am",Standard,,Accessories,"Nokia Flip 226",6438409076281,1,85.00,85.00
gort1,24014,"04-06-26 6:08 pm",Standard,,Vape,"Disposable Vape (30)",VAP30,1,33.00,33.00
gort1,24013,"04-06-26 6:07 pm",Standard,,,"Loom Pod",1402591,1,60.00,60.00
gort1,24012,"04-06-26 6:07 pm",Standard,,Accessories,"Charger/ adapter / Plug Generic",PLUG,1,45.00,45.00
gort1,24012,"04-06-26 6:07 pm",Standard,,Accessories,"Mobile Cover and Temper glass",1430320,1,30.00,30.00
gort1,24011,"04-06-26 6:06 pm",Standard,,Vape,"Disposable Vape (30)",VAP30,1,20.00,20.00
gort1,24011,"04-06-26 6:06 pm",Standard,,Vape,"LIQUID 20",1029886,3,20.00,60.00
gort1,24011,"04-06-26 6:06 pm",Standard,Baseus,Accessories,"Baseus Lightning Cable 1M",6953156274990,1,20.00,20.00
gort1,24010,"04-06-26 6:04 pm",Standard,,,"Loom Pod",1402591,1,60.00,60.00
gort1,24010,"04-06-26 6:04 pm",Standard,,Vape,"Disposable Vape (30)",VAP30,1,32.00,32.00
tesco,24272,"04-06-26 5:56 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,16.00,16.00
tesco,24271,"04-06-26 5:54 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,20.00,20.00
phonelab,10407,"04-06-26 5:52 pm",Standard,,Accessories,"Extra / Cash Overage Adjustment",0000,1,2.00,2.00
phonelab,10406,"04-06-26 5:52 pm",Standard,,Accessories,"Extra / Cash Overage Adjustment",0000,1,60.00,60.00
phoneshop,17885,"04-06-26 5:51 pm",Standard,,,"3 pin cable",1374379,1,15.00,15.00
tesco,24269,"04-06-26 5:51 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,15.00,15.00
tesco,24267,"04-06-26 5:49 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
gort1,24009,"04-06-26 5:44 pm",Standard,,Vape,"Disposable Vape (30)",VAP30,1,20.00,20.00
gort1,24008,"04-06-26 5:40 pm",Standard,,Vape,"Disposable Vape (30)",VAP30,1,25.00,25.00
gort1,24008,"04-06-26 5:40 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
tesco,24266,"04-06-26 5:40 pm",Standard,.,Accessories,". Cover and tempered Glass",25,1,20.00,20.00
gort1,24007,"04-06-26 5:35 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
tesco,24265,"04-06-26 5:32 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
gort1,24006,"04-06-26 5:24 pm",Standard,,,"Loom Pod",1402591,1,40.00,40.00
tesco,24264,"04-06-26 5:22 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,25.00,25.00
phoneshop,17884,"04-06-26 5:20 pm",Standard,,Accessories,"Apple - AirPods Pro 3, Wireless Active Noise Cancelling Earbuds",195950543698,1,40.00,40.00
tesco,24263,"04-06-26 5:15 pm",Standard,h,"Mobile Covers","h Car charger",149417,1,20.00,20.00
phonelab,10404,"04-06-26 5:13 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,18.00,18.00
phonelab,10403,"04-06-26 5:11 pm",Standard,,Accessories,"Charger/ adapter / Plug Generic",PLUG,1,25.00,25.00
phonelab,10403,"04-06-26 5:11 pm",Standard,Baseus,Baseus,"Baseus Baseus Cable",FCAB,1,20.00,20.00
phonelab,10402,"04-06-26 5:05 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
gort1,24005,"04-06-26 5:00 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
gort1,24004,"04-06-26 4:59 pm",Standard,,Accessories,"Mobile Cover and Temper glass",1430320,1,20.00,20.00
tesco,24262,"04-06-26 4:56 pm",Standard,,Accessories,"Tempered Glass",TG1,1,10.00,10.00
gort1,24003,"04-06-26 4:42 pm",Standard,,,"Samsung A53 charging port",789814,1,30.00,30.00
phonelab,10399,"04-06-26 4:34 pm",Standard,,Vape,vap20,VAP20,1,20.00,20.00
phonelab,10398,"04-06-26 4:34 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
tesco,24259,"04-06-26 4:24 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
phonelab,10397,"04-06-26 4:18 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
phonelab,10396,"04-06-26 4:16 pm",Standard,,Dumpling,"Squishy turning light",1641013,1,18.00,18.00
tesco,24258,"04-06-26 4:15 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,5.00,5.00
tesco,24257,"04-06-26 4:14 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,0.00,0.00
tesco,24255,"04-06-26 4:12 pm",Standard,Budi,Accessories,"Budi Type C 1M Cable",6971536926710,1,10.00,10.00
phonelab,10395,"04-06-26 4:05 pm",Standard,,Accessories,"Intenso Buds",1491199,1,35.00,35.00
phoneshop,17883,"04-06-26 4:01 pm",Standard,,Accessories,"65W Plug",1086893,1,15.00,15.00
phonelab,10394,"04-06-26 4:01 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
tesco,24254,"04-06-26 3:51 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,10.00,10.00
gort1,24002,"04-06-26 3:51 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
gort1,24002,"04-06-26 3:51 pm",Standard,.,Vape,". Coil",424281,1,5.00,5.00
phonelab,10392,"04-06-26 3:45 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
tesco,24252,"04-06-26 3:39 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,5.00,5.00
phonelab,10391,"04-06-26 3:37 pm",Standard,,Vape,"Disposable Vape (10)",VAP10,1,10.00,10.00
phoneshop,17882,"04-06-26 3:37 pm",Standard,.,Accessories,". King Kong Armor Case",371282,1,20.00,20.00
tesco,24251,"04-06-26 3:32 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,5.00,5.00
phonelab,10390,"04-06-26 3:31 pm",Standard,,Accessories,"Clip Car Phone Holder",1546607,1,15.00,15.00
gort1,24001,"04-06-26 3:31 pm",Standard,,Vape,"LIQUID 8",1017597,1,8.00,8.00
phoneshop,17881,"04-06-26 3:30 pm",Standard,.,Accessories,". King Kong Armor Case",371282,1,10.00,10.00
phonelab,10389,"04-06-26 3:27 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
gort1,24000,"04-06-26 3:20 pm",Standard,,,"Loom Pod",1402591,1,75.00,75.00
tesco,24250,"04-06-26 3:17 pm",Standard,.,Accessories,". Cover and tempered Glass",25,1,30.00,30.00
phonelab,10388,"04-06-26 3:16 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
phonelab,10387,"04-06-26 3:16 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,1,6.00,6.00
phonelab,10386,"04-06-26 3:16 pm",Standard,,Dumpling,"Dumpling / Butter Squishy",DUMP,3,6.00,18.00
phonelab,10385,"04-06-26 3:12 pm",Standard,,Accessories,"lithium battery CR2032",1491195,1,15.00,15.00
